# tracer: function_graph
#
# CPU  TASK/PID         DURATION                  FUNCTION CALLS
# |     |    |           |   |                     |   |   |   |
 1)    dd-83134    |               |  vfs_write() {
 1)    dd-83134    |               |    rw_verify_area() {
 1)    dd-83134    |   0.209 us    |      security_file_permission();
 1)    dd-83134    |   0.375 us    |    }
 1)    dd-83134    |   0.084 us    |    write_null();
 1)    dd-83134    |   0.708 us    |  }
 ------------------------------------------
 4)    dd-83137    =>    sh-83082   
 ------------------------------------------

 4)    sh-83082    |               |  vfs_write() {
 4)    sh-83082    |               |    rw_verify_area() {
 4)    sh-83082    |   0.250 us    |      security_file_permission();
 4)    sh-83082    |   0.542 us    |    }
 4)    sh-83082    |   0.083 us    |    dynamic_might_resched();
 4)    sh-83082    |               |    __check_object_size() {
 4)    sh-83082    |   0.167 us    |      __check_object_size.part.0();
 4)    sh-83082    |   0.375 us    |    }
 4)    sh-83082    |               |    mutex_lock() {
 4)    sh-83082    |   0.084 us    |      dynamic_might_resched();
 4)    sh-83082    |   0.250 us    |    }
